2019-11-28 00:10:15.329 +01:00 [INF] Starting up the service.
2019-11-28 00:12:28.105 +01:00 [INF] Worker running at: "2019-11-28T00:12:28.1054355+01:00" 1000
2019-11-28 00:12:29.106 +01:00 [INF] Worker running at: "2019-11-28T00:12:29.1065075+01:00" 1000
2019-11-28 00:12:30.107 +01:00 [INF] Worker running at: "2019-11-28T00:12:30.1078370+01:00" 1000
2019-11-28 00:12:31.108 +01:00 [INF] Worker running at: "2019-11-28T00:12:31.1087155+01:00" 1000
2019-11-28 00:12:32.109 +01:00 [INF] Worker running at: "2019-11-28T00:12:32.1095729+01:00" 1000
2019-11-28 00:12:33.111 +01:00 [INF] Worker running at: "2019-11-28T00:12:33.1110568+01:00" 1000
2019-11-28 00:12:34.111 +01:00 [INF] Worker running at: "2019-11-28T00:12:34.1116616+01:00" 1000
2019-11-28 00:12:35.112 +01:00 [INF] Worker running at: "2019-11-28T00:12:35.1121960+01:00" 1000
2019-11-28 00:12:36.112 +01:00 [INF] Worker running at: "2019-11-28T00:12:36.1126728+01:00" 1000
2019-11-28 00:12:37.113 +01:00 [INF] Worker running at: "2019-11-28T00:12:37.1134088+01:00" 1000
2019-11-28 00:12:38.114 +01:00 [INF] Worker running at: "2019-11-28T00:12:38.1140423+01:00" 1000
2019-11-28 00:12:39.114 +01:00 [INF] Worker running at: "2019-11-28T00:12:39.1146081+01:00" 1000
2019-11-28 00:12:40.115 +01:00 [INF] Worker running at: "2019-11-28T00:12:40.1155482+01:00" 1000
2019-11-28 00:12:41.116 +01:00 [INF] Worker running at: "2019-11-28T00:12:41.1167807+01:00" 1000
2019-11-28 00:12:42.117 +01:00 [INF] Worker running at: "2019-11-28T00:12:42.1178571+01:00" 1000
2019-11-28 00:12:43.118 +01:00 [INF] Worker running at: "2019-11-28T00:12:43.1184759+01:00" 1000
2019-11-28 00:12:44.119 +01:00 [INF] Worker running at: "2019-11-28T00:12:44.1197054+01:00" 1000
2019-11-28 00:12:45.120 +01:00 [INF] Worker running at: "2019-11-28T00:12:45.1202269+01:00" 1000
2019-11-28 00:12:46.121 +01:00 [INF] Worker running at: "2019-11-28T00:12:46.1214412+01:00" 1000
2019-11-28 00:12:47.122 +01:00 [INF] Worker running at: "2019-11-28T00:12:47.1226673+01:00" 1000
2019-11-28 00:12:48.124 +01:00 [INF] Worker running at: "2019-11-28T00:12:48.1239779+01:00" 1000
2019-11-28 00:12:49.125 +01:00 [INF] Worker running at: "2019-11-28T00:12:49.1250396+01:00" 1000
